Cap,Name,First,Last,Mat,Inn,NO,Runs,HS,Avg,S/R,50s,100s,Wkt,BBI,Ave,Econ,Ca,St
1,Ajit Agarkar,2006,2007,4,2,0,15,14,7.5,136.36,0,0,3,2-Oct,28.33,8.09,0,0
3,Harbhajan Singh,2006,2016,28,13,5,108,21,13.5,124.13,0,0,25,4-Dec,25.32,6.2,7,0
5,Zaheer Khan,2006,2012,17,4,2,13,9,6.5,130,0,0,17,Apr-19,26.35,7.63,2,0
6,Dinesh Mongia,2006,2006,1,1,0,38,38,38,84.44,0,0,0,0,0,0,1,0
7,Irfan Pathan,2006,2009,24,14,7,172,33*,24.57,119.44,0,0,28,Mar-16,22.07,8.02,2,0
8,Suresh Raina double-dagger,2006,2018,78,66,11,1605,101,29.18,134.87,5,1,13,2-Jun,34,7.59,42,0
9,Virender Sehwag double-dagger,2006,2013,19,18,0,394,68,21.88,145.38,2,0,0,0,0,20,2,0
10,S. Sreesanth,2006,2008,10,3,2,20,19*,20,142.85,0,0,7,2-Dec,41.14,8.47,2,0
11,Sachin Tendulkar,2006,2006,1,1,0,10,10,10,83.33,0,0,1,1-Dec,12,4.8,1,0
12,Gautam Gambhir,2007,2012,37,36,2,932,75,27.41,119.02,7,0,0,0,0,0,11,0
13,R. P. Singh,2007,2009,10,2,2,3,2*,0,100,0,0,15,Apr-13,15,6.81,2,0
14,Robin Uthappa dagger,2007,2015,13,12,2,249,50,24.9,118,1,0,0,0,0,0,2,0
15,Yuvraj Singh,2007,2017,58,51,9,1177,77*,28.02,136.38,8,0,28,Mar-17,17.82,7.06,12,0
16,Joginder Sharma,2007,2007,4,0,0,0,0,0,0,0,0,4,Feb-20,34.5,9.51,2,0
18,Yusuf Pathan,2007,2011,22,18,5,236,37*,18.15,146.58,0,0,13,Feb-22,33.69,8.61,9,0
19,Murali Kartik,2007,2007,1,0,0,0,0,0,0,0,0,0,0,0,6.75,0,0
20,Praveen Kumar,2008,2012,10,3,0,7,6,2.33,43.75,0,0,8,Feb-14,24.12,7.42,1,0
21,Ishant Sharma,2008,2013,14,3,2,8,5*,8,88.88,0,0,8,Feb-34,50,8.63,4,0
22,Ravindra Jadeja,2009,2017,40,18,6,116,25,9.66,93.54,0,0,31,Mar-48,31.7,7.27,18,0
23,Pragyan Ojha,2009,2010,6,1,1,10,10*,0,166.66,0,0,10,Apr-21,13.2,6.28,1,0
24,Ashok Dinda,2009,2010,9,2,1,22,19*,22,91.66,0,0,17,Apr-19,14.41,8.16,1,0
25,Ashish Nehra,2009,2017,27,5,0,28,22,5.6,71.79,0,0,34,Mar-19,22.29,7.73,4,0
26,Sudeep Tyagi,2009,2009,1,0,0,0,0,0,0,0,0,0,0,0,10.5,1,0
27,Murali Vijay,2010,2015,9,9,0,169,48,18.77,109.74,0,0,0,0,0,4.5,3,0
28,Piyush Chawla,2010,2012,7,1,0,0,0,0,0,0,0,4,Feb-13,37.75,6.56,2,0
29,Vinay Kumar,2010,2012,9,1,1,2,2*,0,50,0,0,10,Mar-24,24.7,7.84,1,0
30,Ravichandran Ashwin,2010,2017,46,11,7,123,31*,30.75,106.95,0,0,52,4-Aug,22.94,6.97,8,0
32,Naman Ojha dagger,2010,2010,2,2,0,12,10,6,44.44,0,0,0,0,0,0,0,0
33,Amit Mishra,2010,2017,10,0,0,0,0,0,0,0,0,16,Mar-24,15,6.31,1,0
34,Munaf Patel,2011,2011,3,1,0,0,0,0,0,0,0,4,Feb-25,21.5,8.6,0,0
35,Subramaniam Badrinath,2011,2011,1,1,0,43,43,43,116.21,0,0,0,0,0,0,0,0
37,Parthiv Patel dagger,2011,2011,2,2,0,36,26,18,112.5,0,0,0,0,0,0,1,0
38,Rahul Dravid,2011,2011,1,1,0,31,31,31,147.61,0,0,0,0,0,0,0,0
39,Ajinkya Rahane double-dagger,2011,2016,20,20,2,375,61,20.83,113.29,1,0,0,0,0,0,16,0
40,Manoj Tiwary,2011,2015,3,1,0,15,15,15,88.23,0,0,0,0,0,0,2,0
41,Rahul Sharma,2012,2012,2,0,0,0,0,0,0,0,0,3,Feb-29,18.66,7.63,0,0
43,Lakshmipathy Balaji,2012,2012,5,0,0,0,0,0,0,0,0,10,Mar-19,12.1,7.56,0,0
44,Parvinder Awana,2012,2012,2,0,0,0,0,0,0,0,0,0,0,0,11.83,0,0
46,Mohammed Shami,2014,2017,7,0,0,0,0,0,0,0,0,8,Mar-38,31.25,10.56,0,0
47,Mohit Sharma,2014,2015,8,2,2,3,3*,0,42.85,0,0,6,Feb-28,30.83,8.04,1,0
48,Ambati Rayudu,2014,2016,6,5,1,42,20*,10.5,84,0,0,0,0,0,0,4,0
49,Karn Sharma,2014,2014,1,0,0,0,0,0,0,0,0,1,Jan-28,28,7,0,0
50,Stuart Binny,2015,2016,3,2,0,35,24,17.5,120.68,0,0,1,Jan-14,54,10.8,0,0
51,Kedar Jadhav,2015,2017,9,6,0,122,58,20.33,123.23,1,0,0,0,0,0,1,0
54,Sandeep Sharma,2015,2015,2,1,1,1,1*,0,100,0,0,1,Jan-39,73,10.42,0,0
55,Sanju Samson,2015,2015,1,1,0,19,19,19,79.16,0,0,0,0,0,0,1,0
56,Sreenath Aravind,2015,2015,1,0,0,0,0,0,0,0,0,1,Jan-44,44,12,0,0
59,Pawan Negi,2016,2016,1,0,0,0,0,0,0,0,0,1,Jan-16,16,5.33,2,0
61,Rishi Dhawan,2016,2016,1,1,1,1,1*,0,50,0,0,1,Jan-42,42,10.5,2,0
62,Mandeep Singh,2016,2016,3,3,1,87,52*,43.5,119.17,1,0,0,0,0,0,1,0
65,Dhawal Kulkarni,2016,2016,2,1,1,1,1*,0,100,0,0,3,Feb-23,18.33,6.87,0,0
66,Barinder Sran,2016,2016,2,0,0,0,0,0,0,0,0,6,4-Oct,6.83,5.12,0,0
67,Parvez Rasool,2017,2017,1,1,0,5,5,5,83.33,0,0,1,Jan-32,32,8,0,0
68,Rishabh Pant,2017,2018,4,4,1,73,38,24.33,105.79,0,0,0,0,0,0,2,0
71,Mohammed Siraj,2017,2018,3,0,0,0,0,0,0,0,0,3,Jan-45,49.33,12.33,1,0
72,Washington Sundar,2017,2018,6,1,1,0,0*,0,0,0,0,9,Mar-22,15.11,5.66,1,0
73,Shardul Thakur,2018,2018,7,0,0,0,0,0,0,0,0,8,Apr-27,30.25,8.8,3,0
74,Vijay Shankar,2018,2018,5,1,0,17,17,17,89.47,0,0,3,Feb-32,51,9,1,0
75,Siddarth Kaul,2018,2018,1,0,0,0,0,0,0,0,0,3,Feb-35,13,6.5,0,0
76,Deepak Chahar,2018,2018,1,0,0,0,0,0,0,0,0,1,Jan-43,43,10.75,0,0
